,Title,State,District,Date.of.Challenge.Removal,Month,Year,school_district,County_Merge,County.FIPS,county_state,STATE,COUNTY,STATEFP,CNTYFP,CNTYTVHH,DMAINDEX,DMA,code,Trends_DMA
3346,"#Hockey (Check, Please! Series)",Georgia,Forsyth County Schools,21-Dec,12,2021,forsyth county schools,forsyth county,67,"forsyth, GA",GA ,Forsyth                     ,13,117,39740,9,ATLANTA (GA)                                                         ,524,US-GA-524
7003,Dime,Georgia,Forsyth County Schools,23-Jun,6,2023,forsyth county schools,forsyth county,67,"forsyth, GA",GA ,Forsyth                     ,13,117,39740,9,ATLANTA (GA)                                                         ,524,US-GA-524
7004,Oryx and Crake,Georgia,Forsyth County Schools,23-Jun,6,2023,forsyth county schools,forsyth county,67,"forsyth, GA",GA ,Forsyth                     ,13,117,39740,9,ATLANTA (GA)                                                         ,524,US-GA-524
7005,Perfect,Georgia,Forsyth County Schools,23-Jun,6,2023,forsyth county schools,forsyth county,67,"forsyth, GA",GA ,Forsyth                     ,13,117,39740,9,ATLANTA (GA)                                                         ,524,US-GA-524
7006,Tilt,Georgia,Forsyth County Schools,23-Jun,6,2023,forsyth county schools,forsyth county,67,"forsyth, GA",GA ,Forsyth                     ,13,117,39740,9,ATLANTA (GA)                                                         ,524,US-GA-524
6,The Poet X,Texas,Fredericksburg Independent School District,22-Mar,3,2022,fredericksburg independent school district,blanco county,31,"blanco, TX",TX ,Blanco                      ,48,31,3390,54,AUSTIN (TX)                                                          ,635,US-TX-635
7,The Poet X,Texas,Fredericksburg Independent School District,22-Mar,3,2022,fredericksburg independent school district,gillespie county,171,"gillespie, TX",TX ,Gillespie                   ,48,171,8590,54,AUSTIN (TX)                                                          ,635,US-TX-635
82,The Absolutely True Diary of a Part-Time Indian,Texas,Fredericksburg Independent School District,22-Mar,3,2022,fredericksburg independent school district,blanco county,31,"blanco, TX",TX ,Blanco                      ,48,31,3390,54,AUSTIN (TX)                                                          ,635,US-TX-635
83,The Absolutely True Diary of a Part-Time Indian,Texas,Fredericksburg Independent School District,22-Mar,3,2022,fredericksburg independent school district,gillespie county,171,"gillespie, TX",TX ,Gillespie                   ,48,171,8590,54,AUSTIN (TX)                                                          ,635,US-TX-635
107,Shout,Texas,Leander Independent School District,21-Sep,9,2021,leander independent school district,travis county,453,"travis, TX",TX ,Travis                      ,48,453,335570,54,AUSTIN (TX)                                                          ,635,US-TX-635
108,Shout,Texas,Leander Independent School District,21-Sep,9,2021,leander independent school district,williamson county,491,"williamson, TX",TX ,Williamson                  ,48,491,96980,54,AUSTIN (TX)                                                          ,635,US-TX-635
