"","DMAINDEX","DMA","tot_pop","code","Trends_DMA"
"107",90,"TRI-CITIES, TN-VA                                                    ",50297,NA,NA
"108",91,"BURLINGTON (VT) - PLATTSBURGH (NY)                                   ",859437,NA,NA
"109",92,"DAVENPORT (IA) - ROCK ISLAND (IL) - MOLINE (IL)                      ",761185,NA,NA
"110",93,"WACO (TX) - TEMPLE (TX) - BRYAN (TX)                                 ",1112164,NA,"US-TX-NA"
"111",94,"COLORADO SPRINGS (CO) - PUEBLO (CO)                                  ",1028407,752,"US-CO-752"
"112",95,"BATON ROUGE (LA)                                                     ",940083,NA,NA
"113",96,"JOHNSTOWN (PA) - ALTOONA (PA)                                        ",739561,NA,NA
"114",97,"HARLINGEN (TX) - WESLACO (TX) - BROWNSVILLE (TX) - MCALLEN (TX)      ",1381045,NA,NA
"115",98,"SAVANNAH (GA)                                                        ",987666,507,"US-SC-507"
"116",99,"EVANSVILLE (IN)                                                      ",736696,NA,NA
"117",100,"YOUNGSTOWN (OH)                                                      ",642051,NA,NA
"118",101,"EL PASO (TX)                                                         ",1089212,765,"US-TX-765"
"119",102,"LINCOLN (NE) - HASTINGS (NE) - KEARNEY (NE)                          ",742874,NA,NA
"120",103,"GREENVILLE (NC) - NEW BERN (NC) - WASHINGTON (NC)                    ",794300,545,"US-NC-545"
"121",104,"FT. WAYNE (IN)                                                       ",744801,NA,NA
"122",105,"CHARLESTON (SC)                                                      ",936432,NA,NA
"123",106,"SPRINGFIELD (MA) - HOLYOKE (MA)                                      ",689486,NA,NA
"124",107,"TALLAHASSEE (FL) - THOMASVILLE (GA)                                  ",752593,530,"US-FL-530"
"125",108,"FT. SMITH (AR) - FAY (AR) - SPRINGDALE (AR) - ROGERS (AR)            ",901639,NA,NA
"126",109,"TYLER (TX) - LONGVIEW (TX) - LUFKIN (TX) - NACOGDOCHES (TX)          ",777199,NA,"US-TX-NA"
"127",110,"FLORENCE (SC) - MYRTLE BEACH (SC)                                    ",792465,NA,"US-SC-NA"
"128",111,"LANSING (MI)                                                         ",677196,NA,NA
"129",112,"SIOUX FALLS (SD) - MITCHELL (SD)                                     ",726234,NA,NA
"130",113,"TRAVERSE CITY (MI) - CADILLAC (MI)                                   ",618411,540,"US-MI-540"
"131",114,"RENO (NV)                                                            ",765074,NA,NA
"132",115,"AUGUSTA (GA)                                                         ",731094,NA,NA
"133",116,"MONTGOMERY (AL) - SELMA (AL)                                         ",644997,NA,NA
"134",117,"PEORIA (IL) - BLOOMINGTON (IL)                                       ",627459,NA,NA
"135",118,"FARGO (ND) - VALLEY CITY (ND)                                        ",657279,NA,NA
"136",119,"SANTA BARBARA (CA) - SAN MARCOS (CA) - SAN LUIS OBISPO (CA)          ",726925,NA,NA
"137",120,"MONTEREY (CA) - SALINAS (CA)                                         ",770933,NA,NA
"138",121,"EUGENE (OR)                                                          ",654063,NA,NA
"139",122,"MACON (GA)                                                           ",666361,NA,NA
"140",123,"LA CROSSE (WI) - EAU CLAIRE (WI)                                     ",620359,NA,NA
"141",124,"BOISE (ID)                                                           ",892739,NA,"US-ID-NA"
"142",125,"LAFAYETTE (LA)                                                       ",627051,NA,NA
"143",126,"COLUMBUS (GA)                                                        ",616270,NA,NA
"144",127,"YAKIMA (WA) - PASCO (WA) - RICHLAND (WA) - KENNEWICK (WA)            ",746873,810,"US-WA-810"
"145",128,"CORPUS CHRISTI (TX)                                                  ",587189,NA,NA
"146",129,"AMARILLO (TX)                                                        ",544887,NA,NA
"147",130,"BAKERSFIELD (CA)                                                     ",906883,NA,NA
"148",131,"COLUMBUS (MS) - TUPELO (MS) - WEST POINT (MS)                        ",485352,NA,NA
"149",132,"CHICO (CA) - REDDING (CA)                                            ",514138,NA,NA
"150",133,"MONROE (LA) - EL DORADO (AR)                                         ",464086,NA,NA
"151",134,"WAUSAU (WI) - RHINELANDER (WI)                                       ",455112,NA,NA
"152",135,"ROCKFORD (IL)                                                        ",468425,NA,NA
"153",136,"DULUTH (MN) - SUPERIOR (WI)                                          ",425273,NA,NA
"154",137,"BEAUMONT (TX) - PORT ARTHUR (TX)                                     ",461606,NA,NA
"155",138,"TOPEKA (KS)                                                          ",465074,NA,NA
"156",139,"COLUMBIA (MO) - JEFFERSON CITY (MO)                                  ",484101,NA,NA
"157",140,"SIOUX CITY (IA)                                                      ",416669,624,"US-IA-624"
"158",140,"SIOUX CITY (IA)                                                      ",416669,725,"US-IA-725"
"159",141,"MEDFORD (OR) - KLAMATH FALLS (OR)                                    ",455758,NA,NA
"160",142,"WICHITA FALLS (TX) - LAWTON (OK)                                     ",416827,NA,NA
"161",143,"ERIE (PA)                                                            ",392863,516,"US-PA-516"
"162",144,"WILMINGTON (NC)                                                      ",510081,550,"US-NC-550"
"163",145,"JOPLIN (MO) - PITTSBURG (KS)                                         ",400194,NA,NA
"164",146,"TERRE HAUTE (IN)                                                     ",383362,NA,NA
"165",147,"LUBBOCK (TX)                                                         ",467306,NA,NA
"166",148,"ALBANY (GA)                                                          ",407437,NA,NA
"167",149,"BLUEFIELD (WV) - BECKLEY (WV) - OAK HILL (WV)                        ",320276,NA,NA
"168",150,"WHEELING (WV) - STEUBENVILLE (OH)                                    ",320735,NA,NA
"169",151,"SALISBURY (MD)                                                       ",454539,576,"US-MD-576"
"170",152,"ROCHESTER (MN) - MASON CITY (IA) - AUSTIN (MN)                       ",382897,NA,NA
"171",153,"BANGOR (ME)                                                          ",346951,NA,NA
"172",154,"BINGHAMTON (NY)                                                      ",338442,NA,NA
"173",155,"MINOT (ND) - BISMARCK (ND) - DICKINSON (ND)                          ",424045,NA,"US-ND-NA"
"174",156,"ANCHORAGE (AK)                                                       ",458570,743,"US-AK-743"
"175",157,"BILOXI (MS) - GULFPORT (MS)                                          ",395376,NA,NA
"176",158,"ODESSA (TX) - MIDLAND (TX)                                           ",468704,NA,NA
"177",159,"PANAMA CITY (FL)                                                     ",398655,656,"US-FL-656"
"178",160,"SHERMAN (TX) - ADA (OK)                                              ",350450,NA,NA
"179",162,"GAINESVILLE (FL)                                                     ",357804,592,"US-FL-592"
"180",163,"ABILENE (TX) - SWEETWATER (TX)                                       ",316926,NA,NA
"181",164,"QUINCY (IL) - HANNIBAL (MO) - KEOKUK (IA)                            ",263870,717,"US-IA-717"
"182",165,"IDAHO FALLS (ID) - POCATELLO (ID)                                    ",423449,NA,NA
"183",166,"CLARKSBURG (WV) - WESTON (WV)                                        ",261892,NA,NA
"184",167,"UTICA (NY)                                                           ",351026,NA,NA
"185",168,"HATTIESBURG (MS) - LAUREL (MS)                                       ",299770,NA,NA
"186",169,"MISSOULA (MT)                                                        ",321511,NA,NA
"187",170,"BILLINGS (MT)                                                        ",294707,756,"US-WY-756"
"188",171,"DOTHAN (AL)                                                          ",273853,NA,NA
"189",172,"YUMA (AZ) - EL CENTRO (CA)                                           ",383952,NA,NA
"190",173,"ELMIRA (NY)                                                          ",236209,NA,NA
"191",174,"LAKE CHARLES (LA)                                                    ",275568,NA,NA
"192",175,"RAPID CITY (SD)                                                      ",NA,NA,NA
"193",176,"WATERTOWN (NY)                                                       ",252805,NA,NA
"194",177,"MARQUETTE (MI)                                                       ",215848,553,"US-MI-553"
"195",178,"HARRISONBURG                                                         ",99706,569,"US-VA-569"
"196",178,"HARRISONBURG (VA)                                                    ",167494,569,"US-VA-569"
"197",179,"ALEXANDRIA (LA)                                                      ",239702,NA,NA
"198",180,"BOWLING GREEN (KY)                                                   ",258881,NA,NA
"199",181,"JONESBORO (AR)                                                       ",237576,NA,NA
"200",182,"GREENWOOD (MS) - GREENVILLE (MS)                                     ",183338,NA,NA
"201",183,"JACKSON (TN)                                                         ",210569,NA,NA
"202",184,"GRAND JUNCTION (CO) - MONTROSE (CO)                                  ",230127,NA,NA
"203",185,"MERIDIAN (MS)                                                        ",172384,NA,NA
"204",186,"CHARLOTTESVILLE                                                      ",46289,517,"US-VA-517"
"205",186,"CHARLOTTESVILLE                                                      ",46289,584,"US-VA-584"
"206",186,"CHARLOTTESVILLE (VA)                                                 ",174414,517,"US-VA-517"
"207",186,"CHARLOTTESVILLE (VA)                                                 ",174414,584,"US-VA-584"
"208",187,"GREAT FALLS (MT)                                                     ",171925,NA,NA
"209",188,"PARKERSBURG (WV)                                                     ",151533,NA,NA
"210",189,"LAFAYETTE (IN)                                                       ",195664,NA,NA
"211",190,"EUREKA (CA)                                                          ",163594,NA,NA
"212",191,"TWIN FALLS (ID)                                                      ",206522,NA,NA
"213",192,"LAREDO (TX)                                                          ",281178,NA,NA
"214",193,"ST. JOSEPH (MO)                                                      ",149348,NA,NA
"215",194,"LIMA (OH)                                                            ",148350,NA,NA
"216",195,"BUTTE (MT) - BOZEMAN (MT)                                            ",201908,NA,NA
"217",196,"SAN ANGELO (TX)                                                      ",151455,NA,NA
"218",197,"CHEYENNE (WY) - SCOTTSBLUF (NE)                                      ",148956,NA,NA
"219",198,"OTTUMWA (IA) - KIRKSVILLE (MO)                                       ",127316,631,"US-IA-631"
"220",199,"MANKATO (MN)                                                         ",126067,NA,NA
"221",200,"CASPER (WY) - RIVERTON (WY)                                          ",144978,767,"US-WY-767"
"222",201,"BEND (OR)                                                            ",199352,NA,NA
"223",202,"ZANESVILLE (OH)                                                      ",86393,NA,NA
"224",203,"FAIRBANKS (AK)                                                       ",96299,NA,NA
"225",204,"VICTORIA (TX)                                                        ",91209,NA,NA
"226",205,"PRESQUE ISLE (ME)                                                    ",67237,NA,NA
"227",206,"JUNEAU (AK)                                                          ",32108,NA,NA
"228",207,"HELENA (MT)                                                          ",78464,NA,NA
"229",208,"ALPENA (MI)                                                          ",39149,NA,NA
"230",209,"NORTH PLATTE (NE)                                                    ",37947,NA,NA
"231",210,"GLENDIVE (MT)                                                        ",13139,NA,NA
