"","geo","Month","Year","DMA","STATE","count","avg_hits_prev_month","avg_hits_next_month"
"105","US-NC-560","4","2023","RALEIGH (NC) - DURHAM (NC) - FAYETTEVILLE (NC)                       ","NC ",9,81.25,73.5
"106","US-NC-567","1","2022","GREENVILLE (SC) - SPARTANBURG (SC) - ASHEVILLE (NC) - ANDERSON (SC)  ","NC ",1,61.5,82.25
"107","US-NC-584","2","2023","CHARLOTTE (NC)                                                       ","NC ",2,86.4,76
"108","US-NC-584","5","2023","CHARLOTTE (NC)                                                       ","NC ",4,77.6,61.25
"109","US-NJ-501","5","2023","NEW YORK (NY)                                                        ","NJ ",1,88.8,84.25
"110","US-NY-501","1","2022","NEW YORK (NY)                                                        ","NY ",9,54.25,81.25
"111","US-NY-501","1","2023","NEW YORK (NY)                                                        ","NY ",2,73.25,92.25
"112","US-NY-501","11","2022","NEW YORK (NY)                                                        ","NY ",1,87,73.25
"113","US-NY-501","12","2022","NEW YORK (NY)                                                        ","NY ",2,83,88.8
"114","US-NY-501","2","2022","NEW YORK (NY)                                                        ","NY ",4,67,82.5
"115","US-NY-501","3","2022","NEW YORK (NY)                                                        ","NY ",2,81.25,87
"116","US-NY-501","4","2022","NEW YORK (NY)                                                        ","NY ",1,82.5,75.8
"117","US-NY-501","9","2022","NEW YORK (NY)                                                        ","NY ",1,88.75,87
"118","US-OR-500","10","2022","PORTLAND (OR)                                                        ","OR ",4,81.25,75.75
"119","US-OR-500","3","2023","PORTLAND (OR)                                                        ","OR ",70,87.75,84.2
"120","US-OR-820","10","2022","PORTLAND (OR)                                                        ","OR ",4,81,83.75
"121","US-OR-820","3","2023","PORTLAND (OR)                                                        ","OR ",70,90.25,85.8
"122","US-PA-504","12","2021","PHILADELPHIA (PA)                                                    ","PA ",1,66,77
"123","US-PA-504","12","2022","PHILADELPHIA (PA)                                                    ","PA ",2,84.25,89.2
"124","US-PA-504","3","2023","PHILADELPHIA (PA)                                                    ","PA ",2,93.25,91
"125","US-PA-508","2","2023","PITTSBURGH (PA)                                                      ","PA ",151,88.2,89
"126","US-PA-508","3","2022","PITTSBURGH (PA)                                                      ","PA ",1,80.5,81
"127","US-PA-516","2","2023","ERIE (PA)                                                            ","PA ",151,82.8,75.25
