Title,Type of Ban,Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge
Cultivating Genius: An Equity Framework for Culturally and Historically Responsive Literacy,Banned in Classrooms,,,Pennsylvania,Central York School District,Aug-21,Administrator
Proud: Living My American Dream (Young Readers Edition),Banned Pending Investigation,,,Florida,Duval County Public Schools,Jan-22,Administrator
The Proudest Blue: A Story of Hijab and Family,Banned in Classrooms,"Aly, Hatem",,Pennsylvania,Central York School District,Aug-21,Administrator
Gideon the Ninth (The Locked Tomb Series),Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
"Up, Up, Down!",Banned in Classrooms,"Martchenko, Michael",,Pennsylvania,Central York School District,Aug-21,Administrator
Ramona Blue,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Zen Shorts (Zen Series),Banned Pending Investigation,,,Florida,Duval County Public Schools,Jan-22,Administrator
Wings,Banned in Classrooms,,,Pennsylvania,Central York School District,Aug-21,Administrator
Dope Sick,Banned Pending Investigation,,"Jackson, J.D.",Florida,Lee County Schools,May-22,Administrator
Monster,Banned Pending Investigation,,,Florida,Indian River County School District,Nov-21,Administrator
Monster,Banned Pending Investigation,,,Tennessee,Hamilton County Schools,Oct-21,Administrator
How to Be Bad,Banned in Libraries,,,Wisconsin,School District of Waukesha,Dec-21,Administrator
Kissing Kate,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
"l8r, g8r",Banned Pending Investigation,,,Florida,Indian River County School District,Nov-21,Administrator
"l8r, g8r",Banned in Libraries and Classrooms,,,Georgia,Forsyth County Schools,Jan-22,Administrator
"l8r, g8r",Banned in Libraries and Classrooms,,,Idaho,Nampa School District,May-22,Administrator
"l8r, g8r",Banned in Libraries,,,Indiana,Carmel Clay Schools,Jul-21,Administrator
"l8r, g8r",Banned Pending Investigation,,,Michigan,Gladwin Community Schools,May-22,Administrator
"l8r, g8r",Banned in Libraries and Classrooms,,,Missouri,Francis Howell School District,Oct-21,Formal Challenge
"l8r, g8r",Banned Pending Investigation,,,Texas,Birdville Independent School District,Nov-21,Formal Challenge
"l8r, g8r",Banned in Libraries,,,Texas,Cypress-Fairbanks Independent School District,Jan-22,Administrator
"l8r, g8r",Banned in Libraries and Classrooms,,,Texas,Fredericksburg Independent School District,Mar-22,Administrator
"l8r, g8r",Banned in Libraries and Classrooms,,,Texas,Keller Independent School District,Nov-21,Formal Challenge
"l8r, g8r",Banned Pending Investigation,,,Utah,Canyons School District,Oct-21,Administrator
"l8r, g8r",Banned in Libraries,,,Wisconsin,School District of Waukesha,Dec-21,Administrator
Shine,Banned Pending Investigation,,,Michigan,Gladwin Community Schools,May-22,Administrator
Shine,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Shine,Banned in Libraries,,,Wisconsin,School District of Waukesha,Dec-21,Administrator
The Infinite Moment of Us,Banned Pending Investigation,,,Florida,Brevard Public Schools,May-22,Administrator
The Infinite Moment of Us,Banned Pending Investigation,,,Florida,Indian River County School District,Nov-21,Administrator
The Infinite Moment of Us,Banned in Libraries and Classrooms,,,Georgia,Forsyth County Schools,Jan-22,Administrator
The Infinite Moment of Us,Banned in Libraries,,,Indiana,Carmel Clay Schools,Jul-21,Administrator
The Infinite Moment of Us,Banned in Libraries,,,Indiana,Middlebury Community Schools,Dec-21,Administrator
ttfn (Internet Girls Series),Banned Pending Investigation,,,Texas,Fredericksburg Independent School District,Mar-22,Administrator
