Title,Type of Ban,Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge
My Heart Underwater,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
My Heart Underwater,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
If You Could Be Mine,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Tell Me Again How a Crush Should Feel,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
The Abortion Debate (Essential Viewpoints),Banned Pending Investigation,,,Texas,Klein Independent School District,Dec-21,Administrator
The Abortion Debate (Essential Viewpoints),Banned in Libraries,,,Texas,North East Independent School District,Dec-21,Administrator
With Or Without You,Banned in Libraries,,,Texas,North East Independent School District,Dec-21,Administrator
Lailah's Lunchbox: A Ramadan Story,Banned Pending Investigation,"Lyon, Lea",,Florida,Duval County Public Schools,Jan-22,Administrator
A Place at the Table,Banned in Classrooms,,,North Carolina,Wilkes County School District,May-22,Administrator
Yasmin the Builder (Yasmin Series),Banned in Classrooms,"Aly, Hatem",,Pennsylvania,Central York School District,Aug-21,Administrator
Yasmin the Chef (Yasmin Series),Banned in Classrooms,"Aly, Hatem",,Pennsylvania,Central York School District,Aug-21,Administrator
Yasmin the Explorer (Yasmin Series),Banned in Classrooms,"Aly, Hatem",,Pennsylvania,Central York School District,Aug-21,Administrator
Yasmin the Fashionista (Yasmin Series),Banned in Classrooms,"Aly, Hatem",,Pennsylvania,Central York School District,Aug-21,Administrator
Yasmin the Friend (Yasmin Series),Banned in Classrooms,"Aly, Hatem",,Pennsylvania,Central York School District,Aug-21,Administrator
Yasmin the Gardener (Yasmin Series),Banned in Classrooms,"Aly, Hatem",,Pennsylvania,Central York School District,Aug-21,Administrator
Yasmin the Librarian (Yasmin Series),Banned in Classrooms,"Aly, Hatem",,Pennsylvania,Central York School District,Aug-21,Administrator
Yasmin the Painter (Yasmin Series),Banned in Classrooms,"Aly, Hatem",,Pennsylvania,Central York School District,Aug-21,Administrator
Yasmin the Recycler (Yasmin Series),Banned in Classrooms,"Aly, Hatem",,Pennsylvania,Central York School District,Aug-21,Administrator
Yasmin the Scientist (Yasmin Series),Banned in Classrooms,"Aly, Hatem",,Pennsylvania,Central York School District,Aug-21,Administrator
Yasmin the Singer (Yasmin Series),Banned in Classrooms,"Aly, Hatem",,Pennsylvania,Central York School District,Aug-21,Administrator
Yasmin the Soccer Star (Yasmin Series),Banned in Classrooms,"Aly, Hatem",,Pennsylvania,Central York School District,Aug-21,Administrator
Yasmin the Superhero (Yasmin Series),Banned in Classrooms,"Aly, Hatem",,Pennsylvania,Central York School District,Aug-21,Administrator
Yasmin the Teacher (Yasmin Series),Banned in Classrooms,"Aly, Hatem",,Pennsylvania,Central York School District,Aug-21,Administrator
Yasmin the Writer (Yasmin Series),Banned in Classrooms,"Aly, Hatem",,Pennsylvania,Central York School District,Aug-21,Administrator
Yasmin the Zookeeper (Yasmin Series),Banned in Classrooms,"Aly, Hatem",,Pennsylvania,Central York School District,Aug-21,Administrator
Roe v. Wade: The Untold Story of the Landmark Supreme Court Decision that Made Abortion Legal,Banned Pending Investigation,,,Texas,Klein Independent School District,Dec-21,Administrator
Roe v. Wade: The Untold Story of the Landmark Supreme Court Decision that Made Abortion Legal,Banned in Libraries,,,Texas,North East Independent School District,Dec-21,Administrator
Nate Expectations,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
The Great American Whatever,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
The Great American Whatever,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
The Sissy Duckling,Banned in Libraries and Classrooms,"Cole, Henry",,Florida,Broward County Public Schools,Jun-22,Administrator
Phoenix Goes to School: A Story to Support Transgender and Gender Diverse Children,Banned Pending Investigation,"Davey, Sharon",,Indiana,Carmel Clay Schools,Jul-21,Administrator
The Sweet Revenge of Celia Door,Banned in Libraries,,,Texas,North East Independent School District,Dec-21,Administrator
Hook Up,Banned in Libraries,,,Texas,North East Independent School District,Dec-21,Administrator
Do Abstinence Programs Work?,Banned Pending Investigation,,,Texas,Klein Independent School District,Nov-21,Administrator
The Passing Playbook,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Who Am I Without Him?: A Short Story Collection about Girls and Boys in Their Lives,Banned Pending Investigation,,,Florida,Indian River County School District,Nov-21,Administrator
Seedfolks,Banned in Libraries,"Pedersen, Judy",,Texas,Birdville Independent School District,Oct-21,Formal Challenge
Tattoo Atlas,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Willful Machines,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
"Jasmine Toguchi, Drummer Girl (Jasmine Toguchi Series)",Banned in Classrooms,"Vukovic, Elizabet",,Pennsylvania,Central York School District,Aug-21,Administrator
"Jasmine Toguchi, Flamingo Keeper (Jasmine Toguchi Series)",Banned Pending Investigation,"Vukovic, Elizabet",,Florida,Duval County Public Schools,Jan-22,Administrator
"Jasmine Toguchi, Flamingo Keeper (Jasmine Toguchi Series)",Banned in Classrooms,"Vukovic, Elizabet",,Pennsylvania,Central York School District,Aug-21,Administrator
"Jasmine Toguchi, Mochi Queen (Jasmine Toguchi Series)",Banned in Classrooms,"Vukovic, Elizabet",,Pennsylvania,Central York School District,Aug-21,Administrator
"Jasmine Toguchi, Super Sleuth (Jasmine Toguchi Series)",Banned in Classrooms,"Vukovic, Elizabet",,Pennsylvania,Central York School District,Aug-21,Administrator
Gone Girl,Banned in Libraries and Classrooms,,,Florida,Indian River County School District,Nov-21,Administrator
Extremely Loud & Incredibly Close,Banned in Libraries,,,Florida,Indian River County School District,Nov-21,Administrator
Extremely Loud & Incredibly Close,Banned in Libraries,,,Florida,Lee County Schools,May-22,Administrator
Extremely Loud & Incredibly Close,Banned in Libraries,,,Florida,Polk County Public Schools,Jan-22,Administrator
Extremely Loud & Incredibly Close,Banned in Libraries,,,Florida,St. Lucie Public Schools,Jan-22,Formal Challenge
Extremely Loud & Incredibly Close,Banned Pending Investigation,,,Florida,Walton County School District,Apr-22,Administrator
Extremely Loud & Incredibly Close,Banned in Libraries and Classrooms,,,Idaho,Nampa School District,May-22,Administrator
Extremely Loud & Incredibly Close,Banned Pending Investigation,,,Michigan,Gladwin Community Schools,May-22,Administrator
The Carnival at Bray,Banned in Libraries and Classrooms,,,Florida,Indian River County School District,Nov-21,Administrator
Anne Frank's Diary: The Graphic Adaptation,Banned in Libraries,"Polonsky, David",,Texas,Katy Independent School District,Jan-22,Administrator
Suicide Notes,Banned in Libraries,,,Texas,North East Independent School District,Dec-21,Administrator
I Was Here,Banned Pending Investigation,,,Oklahoma,Bristow Public Schools,Oct-21,Administrator
Winter Candle,Banned Pending Investigation,"Schuett, Stacey",,Florida,Duval County Public Schools,Jan-22,Administrator
Dime,Banned in Libraries and Classrooms,,,Florida,Indian River County School District,Nov-21,Administrator
Life is Funny,Banned in Libraries and Classrooms,,,North Carolina,Moore County Schools,Apr-22,Administrator
Not Quite Snow White,Banned in Classrooms,"Glenn, Ebony",,Pennsylvania,Central York School District,Aug-21,Administrator
Tessa Masterson Will Go to Prom,Banned Pending Investigation,,,Texas,Granbury Independent School District,Jan-22,Administrator
Tessa Masterson Will Go to Prom,Banned in Libraries,,,Texas,North East Independent School District,Dec-21,Administrator
Bingo Love #1,Banned in Libraries and Classrooms,"St. Onge, Jenn; San, Joy; FT, Genevieve",,Tennessee,Collierville Schools,Feb-22,Administrator
Cheer Up: Love and Pompoms,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
The Black Friend: On Being a Better White Person,Banned in Libraries and Classrooms,,,Florida,Indian River County School District,Nov-21,Administrator
The Black Friend: On Being a Better White Person,Banned in Libraries,,,Mississippi,Madison County Schools,Apr-22,Administrator
Monster Trouble!,Banned in Classrooms,"Robertson, Michael",,Pennsylvania,Central York School District,Aug-21,Administrator
Pedagogy of the Oppressed,Banned in Classrooms,,,Pennsylvania,Central York School District,Aug-21,Administrator
All Eyes on Us,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Lush,Banned Pending Investigation,,,Florida,Indian River County School District,Nov-21,Administrator
The Double Life of Pocahontas,Banned Pending Investigation,,,Florida,Duval County Public Schools,Jan-22,Administrator
African American Cowboys: True Heroes Of The Old West,Banned in Classrooms,,,Pennsylvania,Central York School District,Aug-21,Administrator
A Quick & Easy Guide to Queer & Trans Identities,Banned in Libraries and Classrooms,,,Florida,Indian River County School District,Nov-21,Administrator
A Quick & Easy Guide to Queer & Trans Identities,Banned in Libraries and Classrooms,,,Tennessee,Collierville Schools,Feb-22,Administrator
Outlander (Outlander Series),Banned Pending Investigation,,,Florida,Walton County School District,Apr-22,Administrator
Sam!,Banned Pending Investigation,"Liu-Trujillo, Robert",,Florida,Duval County Public Schools,Jan-22,Administrator
When We Were Magic,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
When We Were Magic,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
A Lesson Before Dying,Banned Pending Investigation,,,Virginia,Virginia Beach City Public Schools,Oct-21,Administrator
Ho'onani: Hula Warrior,Banned Pending Investigation,"Song, Mika",,Texas,North East Independent School District,Dec-21,Administrator
Lobizona (Wolves of No World Series),Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Lobizona: A Novel (Wolves of No World Series),Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Caraval (Caraval Series),Banned in Libraries,,,Texas,Katy Independent School District,Apr-22,Administrator
Dreaming in Cuban,Banned in Libraries and Classrooms,,,Florida,Lee County Schools,Mar-22,Administrator
Dreaming in Cuban,Banned Pending Investigation,,,Florida,Walton County School District,Apr-22,Administrator
Escuchando con mi Corazón: Un cuento de bondad y autocompasión (Listening to My Heart),Banned in Classrooms,"Tan, Ying Hui",,Pennsylvania,Central York School District,Aug-21,Administrator
Cow on the Town: Practicing the Ow Sound,Banned Pending Investigation,,,Florida,Duval County Public Schools,Jan-22,Administrator
Annie on My Mind,Banned in Libraries,,,Texas,North East Independent School District,Dec-21,Administrator
"Hear Us Out!: Lesbian and Gay Stories of Struggle, Progress, and Hope, 1950 to the Present",Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
The Year They Burned the Books,Banned in Libraries,,,Texas,North East Independent School District,Dec-21,Administrator
Girl on the Line,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Full Disclosure,Banned in Libraries and Classrooms,,,Texas,Killeen Independent School District,Apr-22,Administrator
Say the Word,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Symptoms of Being Human,Banned Pending Investigation,,,Oklahoma,Bristow Public Schools,Oct-21,Administrator
Symptoms of Being Human,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Symptoms of Being Human,Banned Pending Investigation,,,Texas,Granbury Independent School District,Jan-22,Administrator
Symptoms of Being Human,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
"Culturally Responsive Teaching: Theory, Research, and Practice",Banned in Classrooms,,,Pennsylvania,Central York School District,Aug-21,Administrator
Hunger: A Memoir of (My) Body,Banned in Libraries and Classrooms,,,Florida,Indian River County School District,Nov-21,Administrator
Fancy White Trash,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Fancy White Trash,Banned in Libraries,,,Texas,North East Independent School District,Dec-21,Administrator
My Mixed-Up Berry Blue Summer,Banned Pending Investigation,,,Texas,Granbury Independent School District,Jan-22,Administrator
My Mixed-Up Berry Blue Summer,Banned in Libraries,,,Texas,North East Independent School District,Dec-21,Administrator
The Edge of the Water (Whidbey Island Saga Series),Banned in Libraries,,,Texas,North East Independent School District,Dec-21,Administrator
Luis Munoz Marin (Community Builders),Banned in Classrooms,,,Pennsylvania,Central York School District,Aug-21,Administrator
The Difference Between You and Me,Banned in Libraries,,,Texas,North East Independent School District,Dec-21,Administrator
Lily and Dunkin,Banned Pending Investigation,,,Kansas,Goddard Public Schools,Nov-21,Administrator
Lily and Dunkin,Banned in Classrooms,,,Pennsylvania,Central York School District,Aug-21,Administrator
Lily and Dunkin,Banned Pending Investigation,,,Texas,Fredericksburg Independent School District,Mar-22,Administrator
Lily and Dunkin,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Girls Like Us (2015),Banned in Libraries and Classrooms,,,Texas,Keller Independent School District,Dec-21,Formal Challenge
Not So Pure and Simple,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Melissa (George),Banned in Libraries and Classrooms,,,Florida,Hernando School District,Nov-21,Administrator
Melissa (George),Banned Pending Investigation,,,Florida,Indian River County School District,Nov-21,Administrator
Melissa (George),Banned in Libraries and Classrooms,,,Florida,Lee County Schools,Mar-22,Administrator
Melissa (George),Banned in Libraries,,,Florida,Polk County Public Schools,Jan-22,Administrator
Melissa (George),Banned in Libraries,,,Florida,St. Lucie Public Schools,Dec-21,Formal Challenge
Melissa (George),Banned Pending Investigation,,,Florida,Walton County School District,Apr-22,Administrator
Melissa (George),Banned Pending Investigation,,,Oklahoma,Bristow Public Schools,Oct-21,Administrator
Melissa (George),Banned in Classrooms,,,Pennsylvania,Central York School District,Aug-21,Administrator
Melissa (George),Banned Pending Investigation,,,Texas,Granbury Independent School District,Jan-22,Administrator
Melissa (George),Banned in Libraries,,,Texas,Katy Independent School District,Jan-22,Administrator
Melissa (George),Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Rick,Banned in Libraries and Classrooms,,,Florida,Hernando School District,Nov-21,Administrator
Rick,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Black Youth Rising: Activism and Radical Healing in Urban America,Banned in Classrooms,,,Pennsylvania,Central York School District,Aug-21,Administrator
Hope and Healing in Urban Education: How Urban Activists and Teachers are Reclaiming Matters of the Heart,Banned in Classrooms,,,Pennsylvania,Central York School District,Aug-21,Administrator
Girl Mans Up,Banned in Libraries,,,Georgia,Cherokee County School District,Jan-22,Formal Challenge
Girl Mans Up,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Joshua and the City,Banned Pending Investigation,,,Florida,Indian River County School District,Nov-21,Administrator
After the Game (The Field Party Series),Banned Pending Investigation,,,Texas,Granbury Independent School District,Jan-22,Administrator
Bad for You (Sea Breeze Series),Banned Pending Investigation,,,Oklahoma,Bristow Public Schools,Oct-21,Administrator
Bad for You (Sea Breeze Series),Banned in Libraries and Classrooms,,,Texas,Granbury Independent School District,Jan-22,Administrator
Losing the Field (The Field Party Series),Banned in Libraries and Classrooms,,,Texas,Granbury Independent School District,Jan-22,Administrator
Making a Play (The Field Party Series),Banned Pending Investigation,,,Texas,Granbury Independent School District,Jan-22,Administrator
The Vincent Boys (The Vincent Boys Series),Banned Pending Investigation,,,Florida,Indian River County School District,Nov-21,Administrator
The Vincent Boys (The Vincent Boys Series),Banned in Libraries,,,Florida,Polk County Public Schools,Jan-22,Administrator
The Vincent Boys (The Vincent Boys Series),Banned Pending Investigation,,,Florida,Walton County School District,Apr-22,Administrator
The Vincent Brothers (The Vincent Boys Series),Banned in Libraries and Classrooms,,,Texas,Granbury Independent School District,Jan-22,Administrator
Under the Lights (The Field Party Series),Banned Pending Investigation,,,Texas,Granbury Independent School District,Jan-22,Administrator
Until Friday Night (The Field Party Series),Banned in Libraries and Classrooms,,,Texas,Granbury Independent School District,Jan-22,Administrator
Until the End (Sea Breeze Series),Banned in Libraries and Classrooms,,,Texas,Granbury Independent School District,Jan-22,Administrator
The Hula-Hoopin' Queen,Banned in Classrooms,"Brantley-Newton, Vanessa",,Pennsylvania,Central York School District,Aug-21,Administrator
Roe v. Wade: A Woman's Choice?,Banned Pending Investigation,,,Texas,Granbury Independent School District,Jan-22,Administrator
Lord of the Flies,Banned in Libraries,,,Oklahoma,Bristow Public Schools,Oct-21,Administrator
"Two Parties, One Tux, and a Very Short Film about The Grapes of Wrath",Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
The Sound of Silence,Banned Pending Investigation,"Kuo, Julia",,Florida,Duval County Public Schools,Jan-22,Administrator
Love & Other Carnivorous Plants,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
"Trans+: Love, Sex, Romance, and Being You",Banned Pending Investigation,,,Florida,Walton County School District,Apr-22,Administrator
"Trans+: Love, Sex, Romance, and Being You",Banned in Libraries and Classrooms,,,Tennessee,Collierville Schools,Feb-22,Administrator
Perfect on Paper,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
"They, She, He Easy as ABC",Banned in Classrooms,,,Pennsylvania,Central York School District,Aug-21,Administrator
"They, She, He Easy as ABC",Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
What Drowns the Flowers in Your Mouth: A Memoir of Brotherhood,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
All Around Us,Banned Pending Investigation,"Garcia, Adriana M.",,Florida,Duval County Public Schools,Jan-22,Administrator
Sister Mischief,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Sister Mischief,Banned in Libraries,,,Texas,North East Independent School District,Dec-21,Administrator
How Not to Ask a Boy to Prom,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Whatever.: or how junior year became totally f$@ked,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Forever for a Year,Banned in Libraries and Classrooms,,,Texas,Cypress-Fairbanks Independent School District,Dec-21,Administrator
Forever for a Year,Banned in Libraries and Classrooms,,,Texas,Katy Independent School District,Nov-21,Administrator
Forever for a Year,Banned Pending Investigation,,,Texas,Lamar Consolidated Independent School District,Dec-21,Administrator
The Handsome Girl & Her Beautiful Boy,Banned in Libraries and Classrooms,,,Texas,Katy Independent School District,Nov-21,Administrator
The Nerdy and the Dirty,Banned in Libraries and Classrooms,,,Texas,Cypress-Fairbanks Independent School District,Jan-22,Administrator
The Nerdy and the Dirty,Banned in Libraries and Classrooms,,,Texas,Katy Independent School District,Nov-21,Administrator
The Nerdy and the Dirty,Banned Pending Investigation,,,Texas,Lamar Consolidated Independent School District,Dec-21,Administrator
Seeing Gender: An Illustrated Guide to Identity and Expression,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Amelia Westlake Was Never Here,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Cross My Heart (Cross My Heart Series),Banned in Libraries and Classrooms,,,Florida,Indian River County School District,Nov-21,Administrator
Who Was Maria Tallchief? (Who was...? Series),Banned in Classrooms,"Taylor, Val Paul",,Pennsylvania,Central York School District,Aug-21,Administrator
Image and Identity: Becoming the Person You Are,Banned in Libraries,,,Texas,North East Independent School District,Dec-21,Administrator
Night Shine (Night Shine Series),Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Refugee,Banned in Classrooms,,,Pennsylvania,Central York School District,Aug-21,Administrator
Refugee,Banned Pending Investigation,,,Texas,Katy Independent School District,Jan-22,Administrator
Let it Snow: Three Holiday Romances,Banned in Libraries,,,Wisconsin,School District of Waukesha,Dec-21,Administrator
Looking for Alaska,Banned in Libraries and Classrooms,,,Florida,Hernando School District,Nov-21,Administrator
Looking for Alaska,Banned in Libraries,,,Florida,Indian River County School District,Nov-21,Administrator
Looking for Alaska,Banned Pending Investigation,,,Florida,Osceola County School District,Apr-22,Administrator
Looking for Alaska,Banned in Libraries and Classrooms,,,Idaho,Nampa School District,May-22,Administrator
Looking for Alaska,Banned Pending Investigation,,,Michigan,Gladwin Community Schools,May-22,Administrator
Looking for Alaska,Banned in Libraries,,,Missouri,Nixa Public Schools,Feb-22,Formal Challenge
Looking for Alaska,Banned Pending Investigation,,,New York,Yorktown Central School District,Jan-22,Formal Challenge
Looking for Alaska,Banned in Libraries,,,Oklahoma,Bristow Public Schools,Oct-21,Administrator
Looking for Alaska,Banned in Libraries and Classrooms,,,Texas,Fredericksburg Independent School District,Mar-22,Administrator
Looking for Alaska,Banned in Libraries,,,Texas,Katy Independent School District,Apr-22,Administrator
Looking for Alaska,Banned Pending Investigation,,,Texas,Klein Independent School District,Nov-21,Administrator
"Will Grayson, Will Grayson (Will Grayson, Will Grayson Series)",Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
"Will Grayson, Will Grayson (Will Grayson, Will Grayson Series)",Banned Pending Investigation,,,Texas,Granbury Independent School District,Jan-22,Administrator
"Will Grayson, Will Grayson (Will Grayson, Will Grayson Series)",Banned Pending Investigation,,,Texas,Klein Independent School District,Nov-21,Administrator
"Will Grayson, Will Grayson (Will Grayson, Will Grayson Series)",Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Lighter than My Shadow,Banned in Libraries and Classrooms,,,Pennsylvania,Eastern Lancaster County School District,Oct-21,Administrator
"Sex Plus: Learning, Loving, and Enjoying Your Body",Banned Pending Investigation,,,Florida,Walton County School District,Apr-22,Administrator
Rosa Parks,Banned Pending Investigation,"Ashby, Gil",,Florida,Volusia County Schools,Sep-21,Administrator
The Great Migration: Journey to the North,Banned Pending Investigation,"Gilchrist, Jan Spivey",,Florida,Duval County Public Schools,Jan-22,Administrator
Hooked,Banned Pending Investigation,,,Texas,Granbury Independent School District,Jan-22,Administrator
None of the Above,Banned in Classrooms,,,Texas,Leander Independent School District,Sep-21,Administrator
None of the Above,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
The Deepest Breath,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Make Way for Dyamonde Daniel (Dyamonde Daniel Series),Banned Pending Investigation,"Christie, R. Gregory",,Florida,Duval County Public Schools,Jan-22,Administrator
Ordinary Hazards,Banned Pending Investigation,,,Texas,Granbury Independent School District,Jan-22,Administrator
Ordinary Hazards,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Fates and Furies,Banned Pending Investigation,,,Florida,Walton County School District,Apr-22,Administrator
Water for Elephants,Banned Pending Investigation,,,Florida,Indian River County School District,Nov-21,Administrator
Water for Elephants,Banned Pending Investigation,,,Michigan,Gladwin Community Schools,May-22,Administrator
Leila in Saffron,Banned in Classrooms,"Mirtalipova, Dinara",,Pennsylvania,Central York School District,Aug-21,Administrator
What Philosophy Can Do,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Homegoing,Banned Pending Investigation,,,Florida,Indian River County School District,Nov-21,Administrator
Homegoing,Banned Pending Investigation,,,Georgia,Cherokee County School District,Mar-22,Formal Challenge
Homegoing,Banned in Libraries,,,Missouri,Nixa Public Schools,May-22,Formal Challenge
Homegoing,Banned Pending Investigation,,,Texas,Klein Independent School District,Dec-21,Administrator
Prince & Knight (Prince & Knight Series),Banned in Classrooms,"Lewis, Stevie",,Pennsylvania,Central York School District,Aug-21,Administrator
Culturally Responsive Teaching and The Brain: Promoting Authentic Engagement and Rigor Among Culturally and Linguistically Diverse Students,Banned in Classrooms,,,Pennsylvania,Central York School District,Aug-21,Administrator
To All the Boys I've Loved Before (To All the Boys I've Loved Before Series),Banned in Libraries,,,Texas,Katy Independent School District,Feb-22,Administrator
The Abortion Debate: Understanding the Issues (Issues in Focus Today),Banned in Libraries,,,Texas,North East Independent School District,Dec-21,Administrator
A Raisin in the Sun,Banned in Libraries and Classrooms,,,Oklahoma,Edmond Public Schools,Oct-21,Administrator
The Art of Fielding,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
The Last Exit to Normal,Banned Pending Investigation,,,Texas,Granbury Independent School District,Jan-22,Administrator
The Last Exit to Normal,Banned in Libraries,,,Texas,North East Independent School District,Dec-21,Administrator
Dead Until Dark (Sookie Stackhouse Series),Banned Pending Investigation,,,Florida,Walton County School District,Apr-22,Administrator
Political Resistance in the Current Age,Banned Pending Investigation,,,Texas,Klein Independent School District,Nov-21,Administrator
"It's Not the Stork!: A Book About Girls, Boys, Babies, Bodies, Families and Friends",Banned Pending Investigation,"Emberley, Michael",,Texas,North East Independent School District,Dec-21,Administrator
"It's Perfectly Normal: Changing Bodies, Growing Up, Sex, and Sexual Health",Banned in Libraries,"Emberley, Michael",,Florida,Polk County Public Schools,Jan-22,Administrator
"It's Perfectly Normal: Changing Bodies, Growing Up, Sex, and Sexual Health",Banned Pending Investigation,"Emberley, Michael",,Florida,Walton County School District,Apr-22,Administrator
"It's Perfectly Normal: Changing Bodies, Growing Up, Sex, and Sexual Health",Banned in Libraries and Classrooms,"Emberley, Michael",,Idaho,Nampa School District,May-22,Administrator
"It's Perfectly Normal: Changing Bodies, Growing Up, Sex, and Sexual Health",Banned in Libraries and Classrooms,"Emberley, Michael",,Indiana,Carmel Clay Schools,Jul-21,Administrator
"It's Perfectly Normal: Changing Bodies, Growing Up, Sex, and Sexual Health",Banned Pending Investigation,"Emberley, Michael",,Texas,Birdville Independent School District,Oct-21,Formal Challenge
"It's Perfectly Normal: Changing Bodies, Growing Up, Sex, and Sexual Health",Banned in Libraries,"Emberley, Michael",,Texas,North East Independent School District,Dec-21,Administrator
"It's Perfectly Normal: Changing Bodies, Growing Up, Sex, and Sexual Health",Banned in Libraries and Classrooms,"Emberley, Michael",,Wisconsin,School District of Waukesha,Dec-21,Administrator
Little Leaders: Bold Women in Black History,Banned in Classrooms,,,Pennsylvania,Central York School District,Aug-21,Administrator
Little Legends: Exceptional Men in Black History,Banned in Classrooms,"Johnson, Kwesi",,Pennsylvania,Central York School District,Aug-21,Administrator
Geography Club (Russel Middlebrook Series),Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Geography Club (Russel Middlebrook Series),Banned Pending Investigation,,,Texas,Granbury Independent School District,Jan-22,Administrator
Geography Club (Russel Middlebrook Series),Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Rapture Practice: A True Story About Growing Up Gay in an Evangelical Family,Banned in Libraries and Classrooms,,,Tennessee,Collierville Schools,Feb-22,Administrator
What We Saw,Banned in Libraries and Classrooms,,,Florida,Indian River County School District,Nov-21,Administrator
What We Saw,Banned in Libraries and Classrooms,,,Texas,Prosper Independent School District,Mar-22,Administrator
One Half from the East,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
The Scottsboro Boys,Banned in Libraries and Classrooms,,,Iowa,Keokuk Community School District,Apr-22,Formal Challenge
Ramadan Around The World,Banned in Classrooms,"Momin, Azra",,Pennsylvania,Central York School District,Aug-21,Administrator
Her Royal Highness,Banned Pending Investigation,,,Texas,Granbury Independent School District,Jan-22,Administrator
Her Royal Highness,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Her Royal Highness (Royals Series),Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Girl Crushed,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Girl Crushed,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
The Day of Ahmed's Secret,Banned Pending Investigation,"Lewin, Ted",,Florida,Duval County Public Schools,Jan-22,Administrator
Promposal,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
"100 Questions You'd Never Ask Your Parents: Straight Answers to Teens' Questions About Sex, Sexuality, and Health",Banned Pending Investigation,,,Texas,Klein Independent School District,Dec-21,Administrator
Unpregnant,Banned Pending Investigation,,,Texas,Granbury Independent School District,Jan-22,Administrator
Unpregnant,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
The Other Boy,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Ask Me How I Got Here,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
