"","geo","Month","Year","DMA","STATE","count","avg_hits_prev_month","avg_hits_next_month"
"129","US-PA-577","2","2023","WILKES BARRE (PA) - SCRANTON (PA)                                    ","PA ",1,32.4,20
"130","US-PA-577","7","2022","WILKES BARRE (PA) - SCRANTON (PA)                                    ","PA ",27,0,0
"131","US-SC-507","10","2022","SAVANNAH (GA)                                                        ","SC ",99,0,0
"132","US-SC-567","11","2022","GREENVILLE (SC) - SPARTANBURG (SC) - ASHEVILLE (NC) - ANDERSON (SC)  ","SC ",1,29.6,27
"133","US-SC-567","9","2022","GREENVILLE (SC) - SPARTANBURG (SC) - ASHEVILLE (NC) - ANDERSON (SC)  ","SC ",2,49,29.6
"134","US-TN-575","5","2023","CHATTANOOGA (TN)                                                     ","TN ",2,0,16.25
"135","US-TN-640","2","2022","MEMPHIS (TN)                                                         ","TN ",327,0,25.75
"136","US-TN-659","1","2023","NASHVILLE (TN)                                                       ","TN ",1,49,55.5
"137","US-TN-659","12","2022","NASHVILLE (TN)                                                       ","TN ",2,31.5,57.6
"138","US-TN-659","2","2023","NASHVILLE (TN)                                                       ","TN ",6,57.6,52.75
"139","US-TN-659","3","2022","NASHVILLE (TN)                                                       ","TN ",2,37.75,46.75
"140","US-TN-659","5","2022","NASHVILLE (TN)                                                       ","TN ",4,46.75,71.75
"141","US-TN-659","5","2023","NASHVILLE (TN)                                                       ","TN ",2,55,60.25
"142","US-TX-612","10","2022","SHREVEPORT (LA)                                                      ","TX ",58,0,0
"143","US-TX-618","1","2022","HOUSTON (TX)                                                         ","TX ",71,44.75,60.75
"144","US-TX-618","1","2023","HOUSTON (TX)                                                         ","TX ",73,49.25,69
"145","US-TX-618","10","2022","HOUSTON (TX)                                                         ","TX ",2,67.75,52
"146","US-TX-618","11","2022","HOUSTON (TX)                                                         ","TX ",3,65,49.25
"147","US-TX-618","12","2021","HOUSTON (TX)                                                         ","TX ",34,59,55.6
"148","US-TX-618","12","2022","HOUSTON (TX)                                                         ","TX ",2,52,68.2
"149","US-TX-618","2","2022","HOUSTON (TX)                                                         ","TX ",17,55.6,58.75
"150","US-TX-618","4","2022","HOUSTON (TX)                                                         ","TX ",19,58.75,60.2
"151","US-TX-618","5","2022","HOUSTON (TX)                                                         ","TX ",3,64,87.75
"152","US-TX-618","7","2022","HOUSTON (TX)                                                         ","TX ",2,87.75,66.5
"153","US-TX-618","8","2022","HOUSTON (TX)                                                         ","TX ",3,80.4,67.75
"154","US-TX-618","9","2022","HOUSTON (TX)                                                         ","TX ",10,66.5,65
"155","US-TX-623","1","2022","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",536,57.25,70.25
"156","US-TX-623","1","2023","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",26,55.25,72.25
"157","US-TX-623","10","2022","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",510,74.5,53.5
"158","US-TX-623","11","2022","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",54,68.8,55.25
"159","US-TX-623","12","2021","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",2,61,56.4
"160","US-TX-623","12","2022","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",8,53.5,68.2
"161","US-TX-623","2","2022","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",2,56.4,71.25
"162","US-TX-623","2","2023","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",22,68.2,75.75
"163","US-TX-623","3","2022","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",42,70.25,60.75
"164","US-TX-623","3","2023","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",90,72.25,70.2
"165","US-TX-623","4","2022","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",8,71.25,64
"166","US-TX-623","4","2023","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",5,75.75,68.75
"167","US-TX-623","5","2022","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",4,60.75,90.25
"168","US-TX-623","5","2023","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",5,70.2,88.5
"169","US-TX-623","6","2023","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",5,68.75,80.6
"170","US-TX-623","7","2022","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",2,90.25,76
"171","US-TX-623","8","2022","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",10,90.6,74.5
"172","US-TX-623","9","2022","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",87,76,68.8
"173","US-TX-635","1","2023","AUSTIN (TX)                                                          ","TX ",3,28.5,49.5
"174","US-TX-635","11","2022","AUSTIN (TX)                                                          ","TX ",1,41.2,28.5
"175","US-TX-635","3","2022","AUSTIN (TX)                                                          ","TX ",84,41.75,28.25
"176","US-TX-635","3","2023","AUSTIN (TX)                                                          ","TX ",10,49.5,41.6
"177","US-TX-641","12","2021","SAN ANTONIO (TX)                                                     ","TX ",435,56,46
"178","US-TX-641","3","2022","SAN ANTONIO (TX)                                                     ","TX ",42,50.5,45.25
"179","US-UT-770","1","2023","SALT LAKE CITY (UT)                                                  ","UT ",9,37.25,56.75
"180","US-UT-770","10","2022","SALT LAKE CITY (UT)                                                  ","UT ",40,69.75,60.25
"181","US-UT-770","11","2022","SALT LAKE CITY (UT)                                                  ","UT ",152,49.4,37.25
"182","US-UT-770","12","2022","SALT LAKE CITY (UT)                                                  ","UT ",23,60.25,58.8
"183","US-UT-770","2","2023","SALT LAKE CITY (UT)                                                  ","UT ",58,58.8,47.75
"184","US-UT-770","3","2023","SALT LAKE CITY (UT)                                                  ","UT ",30,56.75,60.6
"185","US-UT-770","5","2023","SALT LAKE CITY (UT)                                                  ","UT ",1,60.6,63
"186","US-UT-770","6","2023","SALT LAKE CITY (UT)                                                  ","UT ",25,53.25,67.8
"187","US-UT-770","7","2022","SALT LAKE CITY (UT)                                                  ","UT ",130,67,56.25
"188","US-UT-770","8","2022","SALT LAKE CITY (UT)                                                  ","UT ",59,63.2,69.75
"189","US-UT-770","9","2022","SALT LAKE CITY (UT)                                                  ","UT ",10,56.25,49.4
"190","US-VA-511","10","2022","WASHINGTON (DC) - HAGERSTOWN (MD)                                    ","VA ",5,50.25,45.75
"191","US-VA-511","11","2022","WASHINGTON (DC) - HAGERSTOWN (MD)                                    ","VA ",2,49.6,43.5
"192","US-VA-511","2","2023","WASHINGTON (DC) - HAGERSTOWN (MD)                                    ","VA ",13,56,48.75
"193","US-VA-511","3","2023","WASHINGTON (DC) - HAGERSTOWN (MD)                                    ","VA ",14,52,51
"194","US-VA-511","4","2023","WASHINGTON (DC) - HAGERSTOWN (MD)                                    ","VA ",1,48.75,44.75
"195","US-VA-517","1","2023","CHARLOTTESVILLE (VA)                                                 ","VA ",17,57.25,64
