"","X.x","geo","Month","Year","DMA","STATE","count","avg_hits_prev_month.x","avg_hits_next_month.x","avg_hits_prev_month.y","avg_hits_next_month.y","code","X.y","avg_index_2019","num_lib_2019","avg_revenue_2019","avg_expenses_2019","std_avg_index_2019","avg_index_2021","num_lib_2021","avg_revenue_2021","avg_expenses_2021","std_avg_index_2021","avg_hits_next_month","avg_hits_prev_month"
"11",11,"US-FL-534",4,2023,"ORLANDO (FL) - DAYTONA BEACH (FL) - MELBOURNE (FL)                   ","FL ",2,66.5,63,83.25,78.75,534,14,659455.966576923,13,9355436.61538462,8871438.46153846,0.301167154609273,565214.052625,12,11156097.9166667,10173449.5833333,0.451214981294774,141.75,149.75
"12",12,"US-FL-534",5,2022,"ORLANDO (FL) - DAYTONA BEACH (FL) - MELBOURNE (FL)                   ","FL ",22,58.75,78,80.75,84.25,534,14,659455.966576923,13,9355436.61538462,8871438.46153846,0.301167154609273,565214.052625,12,11156097.9166667,10173449.5833333,0.451214981294774,162.25,139.5
"13",13,"US-FL-534",5,2023,"ORLANDO (FL) - DAYTONA BEACH (FL) - MELBOURNE (FL)                   ","FL ",26,63,67,79.2,87.5,534,14,659455.966576923,13,9355436.61538462,8871438.46153846,0.301167154609273,565214.052625,12,11156097.9166667,10173449.5833333,0.451214981294774,154.5,142.2
"14",14,"US-FL-534",6,2023,"ORLANDO (FL) - DAYTONA BEACH (FL) - MELBOURNE (FL)                   ","FL ",214,63,71.8,78.75,81.4,534,14,659455.966576923,13,9355436.61538462,8871438.46153846,0.301167154609273,565214.052625,12,11156097.9166667,10173449.5833333,0.451214981294774,153.2,141.75
"15",15,"US-FL-534",7,2022,"ORLANDO (FL) - DAYTONA BEACH (FL) - MELBOURNE (FL)                   ","FL ",3,78,82.25,84.25,92,534,14,659455.966576923,13,9355436.61538462,8871438.46153846,0.301167154609273,565214.052625,12,11156097.9166667,10173449.5833333,0.451214981294774,174.25,162.25
"16",16,"US-FL-534",8,2022,"ORLANDO (FL) - DAYTONA BEACH (FL) - MELBOURNE (FL)                   ","FL ",69,76,75,80.4,87,534,14,659455.966576923,13,9355436.61538462,8871438.46153846,0.301167154609273,565214.052625,12,11156097.9166667,10173449.5833333,0.451214981294774,162,156.4
"17",17,"US-FL-534",9,2022,"ORLANDO (FL) - DAYTONA BEACH (FL) - MELBOURNE (FL)                   ","FL ",13,82.25,67.8,92,88.8,534,14,659455.966576923,13,9355436.61538462,8871438.46153846,0.301167154609273,565214.052625,12,11156097.9166667,10173449.5833333,0.451214981294774,156.6,174.25
"18",18,"US-FL-548",1,2022,"WEST PALM BEACH (FL) - FT. PIERCE (FL)                               ","FL ",11,49,53.5,64.5,77.25,548,19,322048.534377778,15,6658066.6,5508712.93333333,-0.144319438900304,277540.173788889,15,7463205.66666667,5719673.13333333,-0.0845224050480877,130.75,113.5
"19",19,"US-FL-548",10,2022,"WEST PALM BEACH (FL) - FT. PIERCE (FL)                               ","FL ",2,65.75,46.75,84.25,77.75,548,19,322048.534377778,15,6658066.6,5508712.93333333,-0.144319438900304,277540.173788889,15,7463205.66666667,5719673.13333333,-0.0845224050480877,124.5,150
"20",20,"US-FL-548",12,2021,"WEST PALM BEACH (FL) - FT. PIERCE (FL)                               ","FL ",8,40,73,64,87.4,548,19,322048.534377778,15,6658066.6,5508712.93333333,-0.144319438900304,277540.173788889,15,7463205.66666667,5719673.13333333,-0.0845224050480877,160.4,104
"21",21,"US-FL-548",2,2022,"WEST PALM BEACH (FL) - FT. PIERCE (FL)                               ","FL ",1,73,51.75,87.4,75.75,548,19,322048.534377778,15,6658066.6,5508712.93333333,-0.144319438900304,277540.173788889,15,7463205.66666667,5719673.13333333,-0.0845224050480877,127.5,160.4
"22",22,"US-FL-548",2,2023,"WEST PALM BEACH (FL) - FT. PIERCE (FL)                               ","FL ",85,53.8,53.75,84.4,82.25,548,19,322048.534377778,15,6658066.6,5508712.93333333,-0.144319438900304,277540.173788889,15,7463205.66666667,5719673.13333333,-0.0845224050480877,136,138.2
"23",23,"US-FL-548",3,2023,"WEST PALM BEACH (FL) - FT. PIERCE (FL)                               ","FL ",36,53.75,53,81,78,548,19,322048.534377778,15,6658066.6,5508712.93333333,-0.144319438900304,277540.173788889,15,7463205.66666667,5719673.13333333,-0.0845224050480877,131,134.75
"24",24,"US-FL-548",4,2023,"WEST PALM BEACH (FL) - FT. PIERCE (FL)                               ","FL ",1,53.75,52.25,82.25,76.75,548,19,322048.534377778,15,6658066.6,5508712.93333333,-0.144319438900304,277540.173788889,15,7463205.66666667,5719673.13333333,-0.0845224050480877,129,136
"25",25,"US-FL-548",7,2022,"WEST PALM BEACH (FL) - FT. PIERCE (FL)                               ","FL ",23,64,76,87.5,88.25,548,19,322048.534377778,15,6658066.6,5508712.93333333,-0.144319438900304,277540.173788889,15,7463205.66666667,5719673.13333333,-0.0845224050480877,164.25,151.5
"26",26,"US-FL-548",9,2022,"WEST PALM BEACH (FL) - FT. PIERCE (FL)                               ","FL ",2,76,71,88.25,86.6,548,19,322048.534377778,15,6658066.6,5508712.93333333,-0.144319438900304,277540.173788889,15,7463205.66666667,5719673.13333333,-0.0845224050480877,157.6,164.25
"27",27,"US-FL-571",2,2022,"FT. MYERS (FL) - NAPLES (FL)                                         ","FL ",2,27,39.25,79.6,67,571,29,740422.491666667,4,12608014.5,14646004,0.408069072019464,649384.139583333,4,13828600,11360172.75,0.607965613565417,106.25,106.6
"28",28,"US-FL-571",3,2022,"FT. MYERS (FL) - NAPLES (FL)                                         ","FL ",18,23,64,71.75,68.25,571,29,740422.491666667,4,12608014.5,14646004,0.408069072019464,649384.139583333,4,13828600,11360172.75,0.607965613565417,132.25,94.75
"29",29,"US-FL-571",3,2023,"FT. MYERS (FL) - NAPLES (FL)                                         ","FL ",23,37.25,33.6,77.5,67,571,29,740422.491666667,4,12608014.5,14646004,0.408069072019464,649384.139583333,4,13828600,11360172.75,0.607965613565417,100.6,114.75
"30",30,"US-FL-571",5,2022,"FT. MYERS (FL) - NAPLES (FL)                                         ","FL ",10,64,35.25,68.25,74.75,571,29,740422.491666667,4,12608014.5,14646004,0.408069072019464,649384.139583333,4,13828600,11360172.75,0.607965613565417,110,132.25
"31",31,"US-FL-592",3,2023,"GAINESVILLE (FL)                                                     ","FL ",9,0,0,78.75,77,592,36,NA,1,NA,NA,NA,NA,1,NA,NA,NA,77,78.75
"32",32,"US-FL-656",4,2022,"PANAMA CITY (FL)                                                     ","FL ",228,0,0,57,51,656,50,49367.2,2,1348112.5,1344865,-0.504346715044905,31746.4416666667,2,1617585,1288035.5,-0.542266056155305,51,57
"33",33,"US-FL-686",1,2023,"MOBILE (AL) - PENSACOLA (FL) - FT. WALTON (FL)                       ","FL ",28,14,27.5,67.5,86.25,686,55,209419.1498125,4,3333800.5,3301847.75,-0.293026539191597,163641.675472222,3,4838446,4193908.33333333,-0.296636497726314,113.75,81.5
"34",34,"US-FL-686",10,2022,"MOBILE (AL) - PENSACOLA (FL) - FT. WALTON (FL)                       ","FL ",20,29.5,29,89.5,78.25,686,55,209419.1498125,4,3333800.5,3301847.75,-0.293026539191597,163641.675472222,3,4838446,4193908.33333333,-0.296636497726314,107.25,119
"35",35,"US-FL-686",12,2022,"MOBILE (AL) - PENSACOLA (FL) - FT. WALTON (FL)                       ","FL ",12,29,0,78.25,87,686,55,209419.1498125,4,3333800.5,3301847.75,-0.293026539191597,163641.675472222,3,4838446,4193908.33333333,-0.296636497726314,87,107.25
"36",36,"US-FL-686",2,2023,"MOBILE (AL) - PENSACOLA (FL) - FT. WALTON (FL)                       ","FL ",16,0,0,87,81.25,686,55,209419.1498125,4,3333800.5,3301847.75,-0.293026539191597,163641.675472222,3,4838446,4193908.33333333,-0.296636497726314,81.25,87
"37",37,"US-FL-686",3,2023,"MOBILE (AL) - PENSACOLA (FL) - FT. WALTON (FL)                       ","FL ",6,27.5,11.2,86.25,79,686,55,209419.1498125,4,3333800.5,3301847.75,-0.293026539191597,163641.675472222,3,4838446,4193908.33333333,-0.296636497726314,90.2,113.75
"38",38,"US-FL-686",4,2022,"MOBILE (AL) - PENSACOLA (FL) - FT. WALTON (FL)                       ","FL ",9,44.5,39.8,81.5,73.2,686,55,209419.1498125,4,3333800.5,3301847.75,-0.293026539191597,163641.675472222,3,4838446,4193908.33333333,-0.296636497726314,113,126
"39",39,"US-FL-686",4,2023,"MOBILE (AL) - PENSACOLA (FL) - FT. WALTON (FL)                       ","FL ",11,0,25,81.25,74.75,686,55,209419.1498125,4,3333800.5,3301847.75,-0.293026539191597,163641.675472222,3,4838446,4193908.33333333,-0.296636497726314,99.75,81.25
"40",40,"US-FL-686",5,2023,"MOBILE (AL) - PENSACOLA (FL) - FT. WALTON (FL)                       ","FL ",20,11.2,40,79,82.5,686,55,209419.1498125,4,3333800.5,3301847.75,-0.293026539191597,163641.675472222,3,4838446,4193908.33333333,-0.296636497726314,122.5,90.2
"41",41,"US-FL-686",6,2023,"MOBILE (AL) - PENSACOLA (FL) - FT. WALTON (FL)                       ","FL ",15,25,0,74.75,86,686,55,209419.1498125,4,3333800.5,3301847.75,-0.293026539191597,163641.675472222,3,4838446,4193908.33333333,-0.296636497726314,86,99.75
"42",42,"US-FL-686",8,2022,"MOBILE (AL) - PENSACOLA (FL) - FT. WALTON (FL)                       ","FL ",2,10,29.5,81.4,89.5,686,55,209419.1498125,4,3333800.5,3301847.75,-0.293026539191597,163641.675472222,3,4838446,4193908.33333333,-0.296636497726314,119,91.4
"43",43,"US-FL-686",9,2022,"MOBILE (AL) - PENSACOLA (FL) - FT. WALTON (FL)                       ","FL ",111,15.75,31.6,86.25,83,686,55,209419.1498125,4,3333800.5,3301847.75,-0.293026539191597,163641.675472222,3,4838446,4193908.33333333,-0.296636497726314,114.6,102
"44",44,"US-FL-718",1,2022,"JACKSONVILLE (FL)                                                    ","FL ",176,0,0,44.75,65.25,718,58,127311.83225,1,2519562,2522724,-0.401434670466957,96884.144,1,2445769,2345254,-0.420959587380224,65.25,44.75
"45",45,"US-FL-718",10,2022,"JACKSONVILLE (FL)                                                    ","FL ",18,0,0,72.75,67.5,718,58,127311.83225,1,2519562,2522724,-0.401434670466957,96884.144,1,2445769,2345254,-0.420959587380224,67.5,72.75
"46",46,"US-FL-718",11,2022,"JACKSONVILLE (FL)                                                    ","FL ",6,0,0,67.6,59.25,718,58,127311.83225,1,2519562,2522724,-0.401434670466957,96884.144,1,2445769,2345254,-0.420959587380224,59.25,67.6
"47",47,"US-FL-718",3,2023,"JACKSONVILLE (FL)                                                    ","FL ",24,0,18.8,83.25,73.6,718,58,127311.83225,1,2519562,2522724,-0.401434670466957,96884.144,1,2445769,2345254,-0.420959587380224,92.4,83.25
"48",48,"US-FL-718",5,2022,"JACKSONVILLE (FL)                                                    ","FL ",6,0,0,69,82.25,718,58,127311.83225,1,2519562,2522724,-0.401434670466957,96884.144,1,2445769,2345254,-0.420959587380224,82.25,69
"49",49,"US-FL-718",7,2022,"JACKSONVILLE (FL)                                                    ","FL ",102,0,0,82.25,85,718,58,127311.83225,1,2519562,2522724,-0.401434670466957,96884.144,1,2445769,2345254,-0.420959587380224,85,82.25
"50",50,"US-FL-718",8,2022,"JACKSONVILLE (FL)                                                    ","FL ",2034,16.2,0,77.6,72.75,718,58,127311.83225,1,2519562,2522724,-0.401434670466957,96884.144,1,2445769,2345254,-0.420959587380224,72.75,93.8
"51",51,"US-FL-718",9,2022,"JACKSONVILLE (FL)                                                    ","FL ",252,0,0,85,67.6,718,58,127311.83225,1,2519562,2522724,-0.401434670466957,96884.144,1,2445769,2345254,-0.420959587380224,67.6,85
"52",52,"US-GA-524",1,2022,"ATLANTA (GA)                                                         ","GA ",37,62.75,70.5,55,86.75,524,11,454036.835194444,4,4680931,4764216.66666667,0.0299476723209736,406423.8,4,5993457.66666667,4901321,0.155498612251393,157.25,117.75
"53",53,"US-GA-524",12,2021,"ATLANTA (GA)                                                         ","GA ",1,72,71.2,62,80.4,524,11,454036.835194444,4,4680931,4764216.66666667,0.0299476723209736,406423.8,4,5993457.66666667,4901321,0.155498612251393,151.6,134
"54",54,"US-GA-524",2,2022,"ATLANTA (GA)                                                         ","GA ",20,71.2,67.5,80.4,80.25,524,11,454036.835194444,4,4680931,4764216.66666667,0.0299476723209736,406423.8,4,5993457.66666667,4901321,0.155498612251393,147.75,151.6
"55",55,"US-GA-524",3,2022,"ATLANTA (GA)                                                         ","GA ",5,70.5,71,86.75,83.5,524,11,454036.835194444,4,4680931,4764216.66666667,0.0299476723209736,406423.8,4,5993457.66666667,4901321,0.155498612251393,154.5,157.25
"56",56,"US-GA-524",6,2023,"ATLANTA (GA)                                                         ","GA ",4,79.5,85.2,84.5,84,524,11,454036.835194444,4,4680931,4764216.66666667,0.0299476723209736,406423.8,4,5993457.66666667,4901321,0.155498612251393,169.2,164
"57",57,"US-IA-624",3,2023,"SIOUX CITY (IA)                                                      ","IA ",2,0,0,78,68.2,624,44,16243.9148402778,12,459208.916666667,510670.083333333,-0.548080130682713,13701.0597430556,12,396060.166666667,350316.083333333,-0.575872116554073,68.2,78
"58",58,"US-IA-631",4,2022,"OTTUMWA (IA) - KIRKSVILLE (MO)                                       ","IA ",1,0,0,60.25,34.8,631,45,9637.5184,5,225355.2,233631.2,-0.556802703941906,6448.31261666667,5,208024.8,211319.4,-0.589378966063725,34.8,60.25
"59",59,"US-IA-679",4,2023,"DES MOINES (IA) - AMES (IA)                                          ","IA ",2,15,0,88.5,89.5,679,54,45387.2354791667,40,1083301.2,1085302,-0.509601551386591,31559.6433083333,40,1156060.825,942963.275,-0.54261393224566,89.5,103.5
"60",60,"US-IA-679",8,2022,"DES MOINES (IA) - AMES (IA)                                          ","IA ",3,19,25,91.2,87,679,54,45387.2354791667,40,1083301.2,1085302,-0.509601551386591,31559.6433083333,40,1156060.825,942963.275,-0.54261393224566,112,110.2
"61",61,"US-IA-725",3,2023,"SIOUX CITY (IA)                                                      ","IA ",2,0,0,NA,NA,725,59,16243.9148402778,12,459208.916666667,510670.083333333,-0.548080130682713,13701.0597430556,12,396060.166666667,350316.083333333,-0.575872116554073,0,0
"62",62,"US-IN-527",11,2022,"INDIANAPOLIS (IN)                                                    ","IN ",3,53.2,42.25,NA,NA,527,12,329399.867452381,7,4348260,3443130.85714286,-0.134613309109937,239459.359130952,7,4069738,5912206.85714286,-0.155440613531912,42.25,53.2
"63",63,"US-IN-588",12,2021,"SOUTH BEND (IN) - ELKHART (IN)                                       ","IN ",8,0,0,NA,NA,588,35,53399.7378541667,20,1109609.8,986564.55,-0.499022464953132,43280.1151125,20,1198289.3,1086934.85,-0.520786803010034,0,0
"64",64,"US-KS-616",3,2023,"KANSAS CITY (MO)                                                     ","KS ",7,59,55.8,NA,NA,616,39,1102416.76516667,4,15339514,15110093,0.886018223051525,1582513.61372222,4,16797348.3333333,15397511,2.34574016444655,55.8,59
"65",65,"US-MD-576",2,2022,"SALISBURY (MD)                                                       ","MD ",1,0,0,NA,NA,576,32,168463.625,1,3014798,2628472,-0.347101036351306,87575.816,1,3177653,2497851,-0.438294561741184,0,0
"66",66,"US-MI-505",1,2022,"DETROIT (MI)                                                         ","MI ",1,53.75,53.75,NA,NA,505,4,133444.616497653,71,2071720.98591549,1981644.11267606,-0.393337417998602,95085.1949607143,70,2245269.41428571,2137802.64285714,-0.424309784695219,53.75,53.75
"67",67,"US-MI-505",1,2023,"DETROIT (MI)                                                         ","MI ",6,49.25,77.5,NA,NA,505,4,133444.616497653,71,2071720.98591549,1981644.11267606,-0.393337417998602,95085.1949607143,70,2245269.41428571,2137802.64285714,-0.424309784695219,77.5,49.25
"68",68,"US-MI-505",2,2023,"DETROIT (MI)                                                         ","MI ",11,65.4,62.5,NA,NA,505,4,133444.616497653,71,2071720.98591549,1981644.11267606,-0.393337417998602,95085.1949607143,70,2245269.41428571,2137802.64285714,-0.424309784695219,62.5,65.4
"69",69,"US-MI-505",8,2022,"DETROIT (MI)                                                         ","MI ",8,60.8,60.75,NA,NA,505,4,133444.616497653,71,2071720.98591549,1981644.11267606,-0.393337417998602,95085.1949607143,70,2245269.41428571,2137802.64285714,-0.424309784695219,60.75,60.8
"70",70,"US-MI-540",2,2023,"TRAVERSE CITY (MI) - CADILLAC (MI)                                   ","MI ",1,0,0,NA,NA,540,15,15071.7526666667,7,323261.857142857,286912.285714286,-0.549627762666868,12564.752452381,7,363635.428571429,308849.142857143,-0.577988270792516,0,0
"71",71,"US-MI-540",5,2022,"TRAVERSE CITY (MI) - CADILLAC (MI)                                   ","MI ",34,0,0,NA,NA,540,15,15071.7526666667,7,323261.857142857,286912.285714286,-0.549627762666868,12564.752452381,7,363635.428571429,308849.142857143,-0.577988270792516,0,0
"72",72,"US-MI-563",10,2022,"GRAND RAPIDS (MI) - KALAMAZOO (MI) - BATTLE CREEK (MI)               ","MI ",1,41.5,31.5,NA,NA,563,25,115629.513899123,19,1759477.52631579,1717797.84210526,-0.416859097168249,88838.6658245614,19,1941959.05263158,1785339.89473684,-0.435942746320572,31.5,41.5
"73",73,"US-MI-563",12,2022,"GRAND RAPIDS (MI) - KALAMAZOO (MI) - BATTLE CREEK (MI)               ","MI ",1,31.5,56.8,NA,NA,563,25,115629.513899123,19,1759477.52631579,1717797.84210526,-0.416859097168249,88838.6658245614,19,1941959.05263158,1785339.89473684,-0.435942746320572,56.8,31.5
"74",74,"US-MI-588",9,2022,"SOUTH BEND (IN) - ELKHART (IN)                                       ","MI ",1,20.5,0,NA,NA,588,35,53399.7378541667,20,1109609.8,986564.55,-0.499022464953132,43280.1151125,20,1198289.3,1086934.85,-0.520786803010034,0,20.5
"75",75,"US-MI-773",10,2022,"GRAND RAPIDS (MI) - KALAMAZOO (MI) - BATTLE CREEK (MI)               ","MI ",1,0,0,NA,NA,773,66,115629.513899123,19,1759477.52631579,1717797.84210526,-0.416859097168249,88838.6658245614,19,1941959.05263158,1785339.89473684,-0.435942746320572,0,0
"76",76,"US-MI-773",12,2022,"GRAND RAPIDS (MI) - KALAMAZOO (MI) - BATTLE CREEK (MI)               ","MI ",1,0,0,NA,NA,773,66,115629.513899123,19,1759477.52631579,1717797.84210526,-0.416859097168249,88838.6658245614,19,1941959.05263158,1785339.89473684,-0.435942746320572,0,0
"77",77,"US-MO-543",2,2022,"SPRINGFIELD (MO)                                                     ","MO ",18,0,0,NA,NA,543,16,464943.65,3,6444173,6277153.33333333,0.0443481843135458,343602.634722222,3,8088900.66666667,6884596,0.0385062491314057,0,0
"78",78,"US-MO-543",4,2023,"SPRINGFIELD (MO)                                                     ","MO ",30,0,19.25,NA,NA,543,16,464943.65,3,6444173,6277153.33333333,0.0443481843135458,343602.634722222,3,8088900.66666667,6884596,0.0385062491314057,19.25,0
"79",79,"US-MO-543",5,2022,"SPRINGFIELD (MO)                                                     ","MO ",9,0,0,NA,NA,543,16,464943.65,3,6444173,6277153.33333333,0.0443481843135458,343602.634722222,3,8088900.66666667,6884596,0.0385062491314057,0,0
"80",80,"US-MO-543",6,2023,"SPRINGFIELD (MO)                                                     ","MO ",15,19.25,0,NA,NA,543,16,464943.65,3,6444173,6277153.33333333,0.0443481843135458,343602.634722222,3,8088900.66666667,6884596,0.0385062491314057,0,19.25
"81",81,"US-MO-609",1,2022,"ST. LOUIS (MO)                                                       ","MO ",1,47.5,58.5,NA,NA,609,37,446487.031453125,16,6261349.5,7202681.875,0.0199794972619217,341339.794911765,17,6523005,5737567.23529412,0.0342921442892427,58.5,47.5
"82",82,"US-MO-609",10,2022,"ST. LOUIS (MO)                                                       ","MO ",14,58,50,NA,NA,609,37,446487.031453125,16,6261349.5,7202681.875,0.0199794972619217,341339.794911765,17,6523005,5737567.23529412,0.0342921442892427,50,58
"83",83,"US-MO-609",11,2022,"ST. LOUIS (MO)                                                       ","MO ",12,56.6,54,NA,NA,609,37,446487.031453125,16,6261349.5,7202681.875,0.0199794972619217,341339.794911765,17,6523005,5737567.23529412,0.0342921442892427,54,56.6
"84",84,"US-MO-609",3,2022,"ST. LOUIS (MO)                                                       ","MO ",2,58.5,53,NA,NA,609,37,446487.031453125,16,6261349.5,7202681.875,0.0199794972619217,341339.794911765,17,6523005,5737567.23529412,0.0342921442892427,53,58.5
"85",85,"US-MO-609",5,2022,"ST. LOUIS (MO)                                                       ","MO ",2,53,70.25,NA,NA,609,37,446487.031453125,16,6261349.5,7202681.875,0.0199794972619217,341339.794911765,17,6523005,5737567.23529412,0.0342921442892427,70.25,53
"86",86,"US-MO-609",7,2022,"ST. LOUIS (MO)                                                       ","MO ",1,70.25,70,NA,NA,609,37,446487.031453125,16,6261349.5,7202681.875,0.0199794972619217,341339.794911765,17,6523005,5737567.23529412,0.0342921442892427,70,70.25
"87",87,"US-MO-609",8,2022,"ST. LOUIS (MO)                                                       ","MO ",49,80.4,58,NA,NA,609,37,446487.031453125,16,6261349.5,7202681.875,0.0199794972619217,341339.794911765,17,6523005,5737567.23529412,0.0342921442892427,58,80.4
"88",88,"US-MO-609",9,2022,"ST. LOUIS (MO)                                                       ","MO ",239,70,56.6,NA,NA,609,37,446487.031453125,16,6261349.5,7202681.875,0.0199794972619217,341339.794911765,17,6523005,5737567.23529412,0.0342921442892427,56.6,70
"89",89,"US-MO-616",9,2022,"KANSAS CITY (MO)                                                     ","MO ",14,74,53.8,NA,NA,616,39,1102416.76516667,4,15339514,15110093,0.886018223051525,1582513.61372222,4,16797348.3333333,15397511,2.34574016444655,53.8,74
"90",90,"US-MO-619",2,2022,"SPRINGFIELD (MO)                                                     ","MO ",18,0,16.5,NA,NA,619,42,464943.65,3,6444173,6277153.33333333,0.0443481843135458,343602.634722222,3,8088900.66666667,6884596,0.0385062491314057,16.5,0
"91",91,"US-MO-619",4,2023,"SPRINGFIELD (MO)                                                     ","MO ",30,0,20.5,NA,NA,619,42,464943.65,3,6444173,6277153.33333333,0.0443481843135458,343602.634722222,3,8088900.66666667,6884596,0.0385062491314057,20.5,0
"92",92,"US-MO-619",5,2022,"SPRINGFIELD (MO)                                                     ","MO ",9,0,0,NA,NA,619,42,464943.65,3,6444173,6277153.33333333,0.0443481843135458,343602.634722222,3,8088900.66666667,6884596,0.0385062491314057,0,0
"93",93,"US-MO-619",6,2023,"SPRINGFIELD (MO)                                                     ","MO ",15,20.5,0,NA,NA,619,42,464943.65,3,6444173,6277153.33333333,0.0443481843135458,343602.634722222,3,8088900.66666667,6884596,0.0385062491314057,0,20.5
"94",94,"US-MS-718",4,2022,"JACKSON (MS)                                                         ","MS ",22,25,31.4,NA,NA,718,58,127311.83225,1,2519562,2522724,-0.401434670466957,96884.144,1,2445769,2345254,-0.420959587380224,31.4,25
"95",95,"US-NC-517",2,2023,"CHARLOTTE (NC)                                                       ","NC ",2,66.6,59.75,NA,NA,517,9,954541.68625,4,14878130,14516926,0.69077544270677,777246.878125,4,21109750.5,15736887,0.846085423518612,59.75,66.6
"96",96,"US-NC-517",5,2023,"CHARLOTTE (NC)                                                       ","NC ",4,64.2,82,NA,NA,517,9,954541.68625,4,14878130,14516926,0.69077544270677,777246.878125,4,21109750.5,15736887,0.846085423518612,82,64.2
"97",97,"US-NC-518",1,2023,"GREENSBORO (NC) - HIGH POINT (NC) - WINSTON SALEM (NC)               ","NC ",1,15,26.25,NA,NA,518,10,NA,1,NA,NA,NA,NA,1,NA,NA,NA,26.25,15
"98",98,"US-NC-518",4,2022,"GREENSBORO (NC) - HIGH POINT (NC) - WINSTON SALEM (NC)               ","NC ",1,38.75,30.8,NA,NA,518,10,NA,1,NA,NA,NA,NA,1,NA,NA,NA,30.8,38.75
"99",99,"US-NC-518",5,2022,"GREENSBORO (NC) - HIGH POINT (NC) - WINSTON SALEM (NC)               ","NC ",3,13.75,43.75,NA,NA,518,10,NA,1,NA,NA,NA,NA,1,NA,NA,NA,43.75,13.75
"100",100,"US-NC-518",6,2022,"GREENSBORO (NC) - HIGH POINT (NC) - WINSTON SALEM (NC)               ","NC ",2,30.8,20.8,NA,NA,518,10,NA,1,NA,NA,NA,NA,1,NA,NA,NA,20.8,30.8
"101",101,"US-NC-550",2,2023,"WILMINGTON (NC)                                                      ","NC ",41,0,0,NA,NA,550,20,87905.1166666667,1,867337,863527,-0.453464240094986,82764.475,1,896859,893401,-0.447254760917324,0,0
