"","Month","Year","Trends_DMA","DMA","STATE","count"
"112","2","2022","US-TX-618","HOUSTON (TX)                                                         ","TX ",17
"113","2","2022","US-TX-623","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",2
"114","2","2022","US-WA-810","YAKIMA (WA) - PASCO (WA) - RICHLAND (WA) - KENNEWICK (WA)            ","WA ",1
"115","2","2023","US-FL-548","WEST PALM BEACH (FL) - FT. PIERCE (FL)                               ","FL ",85
"116","2","2023","US-FL-686","MOBILE (AL) - PENSACOLA (FL) - FT. WALTON (FL)                       ","FL ",16
"117","2","2023","US-MI-505","DETROIT (MI)                                                         ","MI ",11
"118","2","2023","US-MI-540","TRAVERSE CITY (MI) - CADILLAC (MI)                                   ","MI ",1
"119","2","2023","US-MI-553","MARQUETTE (MI)                                                       ","MI ",1
"120","2","2023","US-NC-517","CHARLOTTE (NC)                                                       ","NC ",2
"121","2","2023","US-NC-550","WILMINGTON (NC)                                                      ","NC ",41
"122","2","2023","US-NC-584","CHARLOTTE (NC)                                                       ","NC ",2
"123","2","2023","US-PA-508","PITTSBURGH (PA)                                                      ","PA ",151
"124","2","2023","US-PA-516","ERIE (PA)                                                            ","PA ",151
"125","2","2023","US-PA-577","WILKES BARRE (PA) - SCRANTON (PA)                                    ","PA ",1
"126","2","2023","US-TN-659","NASHVILLE (TN)                                                       ","TN ",6
"127","2","2023","US-TX-623","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",22
"128","2","2023","US-UT-770","SALT LAKE CITY (UT)                                                  ","UT ",58
"129","2","2023","US-VA-511","WASHINGTON (DC) - HAGERSTOWN (MD)                                    ","VA ",13
"130","2","2023","US-WY-756","BILLINGS (MT)                                                        ","WY ",10
"131","3","2022","US-FL-534","ORLANDO (FL) - DAYTONA BEACH (FL) - MELBOURNE (FL)                   ","FL ",20
"132","3","2022","US-FL-571","FT. MYERS (FL) - NAPLES (FL)                                         ","FL ",18
"133","3","2022","US-GA-524","ATLANTA (GA)                                                         ","GA ",5
"134","3","2022","US-MO-609","ST. LOUIS (MO)                                                       ","MO ",2
"135","3","2022","US-NY-501","NEW YORK (NY)                                                        ","NY ",2
"136","3","2022","US-PA-508","PITTSBURGH (PA)                                                      ","PA ",1
"137","3","2022","US-TN-659","NASHVILLE (TN)                                                       ","TN ",2
"138","3","2022","US-TX-623","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",42
"139","3","2022","US-TX-635","AUSTIN (TX)                                                          ","TX ",84
"140","3","2022","US-TX-641","SAN ANTONIO (TX)                                                     ","TX ",42
"141","3","2023","US-FL-530","TALLAHASSEE (FL) - THOMASVILLE (GA)                                  ","FL ",20
"142","3","2023","US-FL-534","ORLANDO (FL) - DAYTONA BEACH (FL) - MELBOURNE (FL)                   ","FL ",19
"143","3","2023","US-FL-548","WEST PALM BEACH (FL) - FT. PIERCE (FL)                               ","FL ",36
"144","3","2023","US-FL-571","FT. MYERS (FL) - NAPLES (FL)                                         ","FL ",23
"145","3","2023","US-FL-592","GAINESVILLE (FL)                                                     ","FL ",9
"146","3","2023","US-FL-686","MOBILE (AL) - PENSACOLA (FL) - FT. WALTON (FL)                       ","FL ",6
"147","3","2023","US-FL-718","JACKSONVILLE (FL)                                                    ","FL ",24
"148","3","2023","US-IA-624","SIOUX CITY (IA)                                                      ","IA ",2
"149","3","2023","US-IA-725","SIOUX CITY (IA)                                                      ","IA ",2
"150","3","2023","US-KS-616","KANSAS CITY (MO)                                                     ","KS ",7
"151","3","2023","US-OR-500","PORTLAND (OR)                                                        ","OR ",70
"152","3","2023","US-OR-820","PORTLAND (OR)                                                        ","OR ",70
"153","3","2023","US-PA-504","PHILADELPHIA (PA)                                                    ","PA ",2
"154","3","2023","US-TX-623","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",90
"155","3","2023","US-TX-635","AUSTIN (TX)                                                          ","TX ",10
"156","3","2023","US-UT-770","SALT LAKE CITY (UT)                                                  ","UT ",30
"157","3","2023","US-VA-511","WASHINGTON (DC) - HAGERSTOWN (MD)                                    ","VA ",14
"158","3","2023","US-WY-767","CASPER (WY) - RIVERTON (WY)                                          ","WY ",2
"159","4","2022","US-FL-656","PANAMA CITY (FL)                                                     ","FL ",228
"160","4","2022","US-FL-686","MOBILE (AL) - PENSACOLA (FL) - FT. WALTON (FL)                       ","FL ",9
"161","4","2022","US-IA-631","OTTUMWA (IA) - KIRKSVILLE (MO)                                       ","IA ",1
"162","4","2022","US-IA-717","QUINCY (IL) - HANNIBAL (MO) - KEOKUK (IA)                            ","IA ",1
"163","4","2022","US-MS-718","JACKSON (MS)                                                         ","MS ",22
"164","4","2022","US-NC-518","GREENSBORO (NC) - HIGH POINT (NC) - WINSTON SALEM (NC)               ","NC ",1
"165","4","2022","US-NC-560","RALEIGH (NC) - DURHAM (NC) - FAYETTEVILLE (NC)                       ","NC ",2
"166","4","2022","US-NY-501","NEW YORK (NY)                                                        ","NY ",1
"167","4","2022","US-PA-566","HARRISBURG (PA) - LANCASTER (PA) - LEBANON (PA) - YORK (PA)          ","PA ",1
"168","4","2022","US-TX-618","HOUSTON (TX)                                                         ","TX ",19
"169","4","2022","US-TX-623","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",8
"170","4","2023","US-FL-534","ORLANDO (FL) - DAYTONA BEACH (FL) - MELBOURNE (FL)                   ","FL ",2
"171","4","2023","US-FL-548","WEST PALM BEACH (FL) - FT. PIERCE (FL)                               ","FL ",1
"172","4","2023","US-FL-686","MOBILE (AL) - PENSACOLA (FL) - FT. WALTON (FL)                       ","FL ",11
"173","4","2023","US-IA-679","DES MOINES (IA) - AMES (IA)                                          ","IA ",2
"174","4","2023","US-MO-543","SPRINGFIELD (MO)                                                     ","MO ",30
"175","4","2023","US-MO-619","SPRINGFIELD (MO)                                                     ","MO ",30
"176","4","2023","US-NC-560","RALEIGH (NC) - DURHAM (NC) - FAYETTEVILLE (NC)                       ","NC ",9
"177","4","2023","US-TX-623","DALLAS (TX) - FT. WORTH (TX)                                         ","TX ",5
"178","4","2023","US-VA-511","WASHINGTON (DC) - HAGERSTOWN (MD)                                    ","VA ",1
"179","5","2022","US-FL-534","ORLANDO (FL) - DAYTONA BEACH (FL) - MELBOURNE (FL)                   ","FL ",22
"180","5","2022","US-FL-571","FT. MYERS (FL) - NAPLES (FL)                                         ","FL ",10
"181","5","2022","US-FL-718","JACKSONVILLE (FL)                                                    ","FL ",6
"182","5","2022","US-MI-540","TRAVERSE CITY (MI) - CADILLAC (MI)                                   ","MI ",34
"183","5","2022","US-MO-543","SPRINGFIELD (MO)                                                     ","MO ",9
"184","5","2022","US-MO-609","ST. LOUIS (MO)                                                       ","MO ",2
"185","5","2022","US-MO-619","SPRINGFIELD (MO)                                                     ","MO ",9
